Years,Income Quantiles,Categories,%expenditure,total exp
2001,1,milkproducts,10.9624,58111.65
2001,1,meet/poultry/fish,5.163532,31345.21
2001,1,fruits,2.364595,13945.48
2001,1,dryfruits,1.646605,11892.36
2001,1,vegetables,4.811149,22847.44
2001,1,Condiments & Spices (Whole & Powder ),2.116325,9923.771
2001,1,"Sugar, Honey and Sugar Preparations ",4.914317,23344.63
2001,1,Non Alcoholic Beverages,1.918033,38671.71
2001,1," Readymade Food, Drinks etc. ",8.139327,12222.18
2001,1, Cereals,12.79237,59890.27
2001,1,Pulses – Split and Whole / Washed and Unwashed ,1.628678,7915.014
2001,1,Edible Oils and Fats,5.066853,24839.76
2001,1,Tea and Coffee,1.920822,9652.28
2001,1,Baked and Fried Products,0.9218873,6054.893
2001,1,Miscellaneous Food Items,1.577986,7190.36
2001,1,FUEL AND LIGHTING ,9.640534,46856.99
2001,1, Personal Care Articles,1.61144,8461.666
2001,1, Personal Care Services,0.8202738,4201.749
2001,1, Household laundry Cleaning and Paper Articles,1.792754,8481.397
2001,1, Tobacco and Chewing Products,3.190345,15017.84
2001,1,Recreation & reading,1.604803,14738.79
2001,1, Personal Transport and Travelling ,3.661494,22369.75
2001,1,Other Miscellaneous Household Expenses on Goods and Services,3.897763,24300.83
2001,1," Clothing, Clothing material and services",5.547321,28937.29
2001,1,. Footwear and repair charges,1.366741,7191.466
2001,1,Personal effects and service and repair charges,0.2269701,1346.252
2001,1, House rent and housing expenses,10.98426,60368.46
2001,1,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3604942,1876.925
2001,1, Expenditure on Medical Care,4.04749,21046.16
2001,1,"Recreational, travel & transport expenditure",0.692023,4904.953
2001,1, Educational and Professional Stationary Expenditure ,4.334274,31307.43
2001,1,Taxes & Fines and all Other Miscellaneous Expenditure ,3.574186,22750.54
2001,2,milkproducts,10.34915,51608.77
2001,2,meet/poultry/fish,5.01175,26948.93
2001,2,fruits,2.16273,11431.42
2001,2,dryfruits,1.023315,6445.224
2001,2,vegetables,4.836508,22502.24
2001,2,Condiments & Spices (Whole & Powder ),2.136946,9904.132
2001,2,"Sugar, Honey and Sugar Preparations ",5.023942,23780.72
2001,2,Non Alcoholic Beverages,1.705535,32116.67
2001,2," Readymade Food, Drinks etc. ",6.582556,10120.85
2001,2, Cereals,13.15182,60895.43
2001,2,Pulses – Split and Whole / Washed and Unwashed ,1.658084,7792.298
2001,2,Edible Oils and Fats,5.210911,24700.68
2001,2,Tea and Coffee,1.982416,9642.224
2001,2,Baked and Fried Products,0.9087514,5324.034
2001,2,Miscellaneous Food Items,1.448418,6671.379
2001,2,FUEL AND LIGHTING ,9.273056,44641.98
2001,2, Personal Care Articles,1.66535,8225.723
2001,2, Personal Care Services,0.8149963,3919.241
2001,2, Household laundry Cleaning and Paper Articles,1.808795,8423.09
2001,2, Tobacco and Chewing Products,3.514607,15464.07
2001,2,Recreation & reading,1.782063,14285.88
2001,2, Personal Transport and Travelling ,3.761014,19517.91
2001,2,Other Miscellaneous Household Expenses on Goods and Services,3.79945,21417.4
2001,2," Clothing, Clothing material and services",5.569351,27011.48
2001,2,. Footwear and repair charges,1.288478,6386.183
2001,2,Personal effects and service and repair charges,0.2274557,1203.676
2001,2, House rent and housing expenses,10.99189,59292.76
2001,2,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3609711,1762.789
2001,2, Expenditure on Medical Care,4.425774,22129.5
2001,2,"Recreational, travel & transport expenditure",0.562651,3526.401
2001,2, Educational and Professional Stationary Expenditure ,4.045356,25880.02
2001,2,Taxes & Fines and all Other Miscellaneous Expenditure ,3.307454,17687.37
2001,3,milkproducts,10.4856,70423.2
2001,3,meet/poultry/fish,5.394056,39044.61
2001,3,fruits,2.121113,15479.76
2001,3,dryfruits,1.167512,8664.778
2001,3,vegetables,4.264277,27070.38
2001,3,Condiments & Spices (Whole & Powder ),1.87182,11837.22
2001,3,"Sugar, Honey and Sugar Preparations ",4.29177,27338.08
2001,3,Non Alcoholic Beverages,1.785132,44439.73
2001,3," Readymade Food, Drinks etc. ",6.966718,14003.59
2001,3, Cereals,11.38265,71241.16
2001,3,Pulses – Split and Whole / Washed and Unwashed ,1.494559,9525.21
2001,3,Edible Oils and Fats,4.784925,30828.07
2001,3,Tea and Coffee,1.781977,11835.36
2001,3,Baked and Fried Products,0.9046248,6889.808
2001,3,Miscellaneous Food Items,1.396185,8300.821
2001,3,FUEL AND LIGHTING ,8.527388,54766.19
2001,3, Personal Care Articles,1.689437,11435.73
2001,3, Personal Care Services,0.7394341,4960.883
2001,3, Household laundry Cleaning and Paper Articles,1.595446,10103.17
2001,3, Tobacco and Chewing Products,2.74798,16870.49
2001,3,Recreation & reading,1.402838,12827.06
2001,3, Personal Transport and Travelling ,4.080952,29398.26
2001,3,Other Miscellaneous Household Expenses on Goods and Services,3.877321,29393.97
2001,3," Clothing, Clothing material and services",5.475289,35895.22
2001,3,. Footwear and repair charges,1.287596,8534.844
2001,3,Personal effects and service and repair charges,0.2357572,1698.509
2001,3, House rent and housing expenses,12.94889,93407.64
2001,3,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3564267,2367.663
2001,3, Expenditure on Medical Care,3.969843,27849.51
2001,3,"Recreational, travel & transport expenditure",0.5754391,4682.228
2001,3, Educational and Professional Stationary Expenditure ,5.104295,40716.27
2001,3,Taxes & Fines and all Other Miscellaneous Expenditure ,3.60578,26896.55
2001,4,milkproducts,11.37023,88018.21
2001,4,meet/poultry/fish,5.230089,47885.03
2001,4,fruits,2.193935,19950.71
2001,4,dryfruits,1.449888,12580.37
2001,4,vegetables,4.09348,29900.94
2001,4,Condiments & Spices (Whole & Powder ),1.735009,12653.68
2001,4,"Sugar, Honey and Sugar Preparations ",4.440983,31698.52
2001,4,Non Alcoholic Beverages,1.568492,44604.09
2001,4," Readymade Food, Drinks etc. ",4.258443,17329.76
2001,4, Cereals,11.46463,77668.85
2001,4,Pulses – Split and Whole / Washed and Unwashed ,1.29203,9623.135
2001,4,Edible Oils and Fats,4.670788,34484.44
2001,4,Tea and Coffee,1.642114,12566.69
2001,4,Baked and Fried Products,0.7709327,9069.499
2001,4,Miscellaneous Food Items,1.241304,8395.501
2001,4,FUEL AND LIGHTING ,7.86167,61701.27
2001,4, Personal Care Articles,1.568566,13427.09
2001,4, Personal Care Services,0.6971177,5743.437
2001,4, Household laundry Cleaning and Paper Articles,1.50062,11024.04
2001,4, Tobacco and Chewing Products,2.567732,17211.9
2001,4,Recreation & reading,1.416722,19298.68
2001,4, Personal Transport and Travelling ,4.030214,40378.69
2001,4,Other Miscellaneous Household Expenses on Goods and Services,4.049843,43031.7
2001,4," Clothing, Clothing material and services",5.560479,43578.54
2001,4,. Footwear and repair charges,1.323994,10413.4
2001,4,Personal effects and service and repair charges,0.2386927,2203.916
2001,4, House rent and housing expenses,12.42871,130121.6
2001,4,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3462526,2823.694
2001,4, Expenditure on Medical Care,4.132131,34786.67
2001,4,"Recreational, travel & transport expenditure",0.7431892,8269.156
2001,4, Educational and Professional Stationary Expenditure ,4.935056,56865.88
2001,4,Taxes & Fines and all Other Miscellaneous Expenditure ,4.060009,38135.96
2001,5,milkproducts,13.23311,112780.5
2001,5,meet/poultry/fish,5.175342,51611.62
2001,5,fruits,2.134146,22049.91
2001,5,dryfruits,1.305733,15856.06
2001,5,vegetables,4.053829,31706.35
2001,5,Condiments & Spices (Whole & Powder ),1.712516,13368.47
2001,5,"Sugar, Honey and Sugar Preparations ",4.629456,36985.63
2001,5,Non Alcoholic Beverages,1.41239,38159.55
2001,5," Readymade Food, Drinks etc. ",2.413779,18245.04
2001,5, Cereals,12.86707,95897
2001,5,Pulses – Split and Whole / Washed and Unwashed ,1.278011,10181.07
2001,5,Edible Oils and Fats,4.968058,39756.85
2001,5,Tea and Coffee,1.70797,13792.86
2001,5,Baked and Fried Products,0.6773638,9075.222
2001,5,Miscellaneous Food Items,1.269106,9986.784
2001,5,FUEL AND LIGHTING ,7.392076,64243.12
2001,5, Personal Care Articles,1.546689,13955.69
2001,5, Personal Care Services,0.6930699,6588.947
2001,5, Household laundry Cleaning and Paper Articles,1.619739,12744.23
2001,5, Tobacco and Chewing Products,2.687605,20677.18
2001,5,Recreation & reading,1.137412,26780.85
2001,5, Personal Transport and Travelling ,3.78747,43446.45
2001,5,Other Miscellaneous Household Expenses on Goods and Services,3.791569,48797.13
2001,5," Clothing, Clothing material and services",6.23687,52506.05
2001,5,. Footwear and repair charges,1.365132,11744.72
2001,5,Personal effects and service and repair charges,0.2561833,2549.242
2001,5, House rent and housing expenses,8.780349,114585.5
2001,5,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.4020399,3422.428
2001,5, Expenditure on Medical Care,4.746814,42919.25
2001,5,"Recreational, travel & transport expenditure",0.8164776,12224.96
2001,5, Educational and Professional Stationary Expenditure ,3.541382,50731.62
2001,5,Taxes & Fines and all Other Miscellaneous Expenditure ,4.662387,46470.25
2001,Total,milkproducts,11.28712,76381.32
2001,Total,meet/poultry/fish,5.198602,39689.28
2001,Total,fruits,2.190994,16743.4
2001,Total,dryfruits,1.323418,11403.19
2001,Total,vegetables,4.411406,26813.26
2001,Total,Condiments & Spices (Whole & Powder ),1.9144,11538.72
2001,Total,"Sugar, Honey and Sugar Preparations ",4.660628,28634.92
2001,Total,Non Alcoholic Beverages,1.656873,39997.69
2001,Total," Readymade Food, Drinks etc. ",5.411302,14995.53
2001,Total, Cereals,12.33438,73146.02
2001,Total,Pulses – Split and Whole / Washed and Unwashed ,1.469256,9012.887
2001,Total,Edible Oils and Fats,4.940597,30931.19
2001,Total,Tea and Coffee,1.805989,11512
2001,Total,Baked and Fried Products,0.8326138,7420.167
2001,Total,Miscellaneous Food Items,1.369421,8310.34
2001,Total,FUEL AND LIGHTING ,8.539538,54433
2001,Total, Personal Care Articles,1.616242,11098.52
2001,Total, Personal Care Services,0.7519957,5096.54
2001,Total, Household laundry Cleaning and Paper Articles,1.663518,10157.46
2001,Total, Tobacco and Chewing Products,2.939423,17115.07
2001,Total,Recreation & reading,1.417649,18175.98
2001,Total, Personal Transport and Travelling ,3.868553,31413.46
2001,Total,Other Miscellaneous Household Expenses on Goods and Services,3.884364,34044.07
2001,Total," Clothing, Clothing material and services",5.678437,37587.7
2001,Total,. Footwear and repair charges,1.326342,8859.514
2001,Total,Personal effects and service and repair charges,0.2374804,1824.485
2001,Total, House rent and housing expenses,11.224,91520.14
2001,Total,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3652326,2459.756
2001,Total, Expenditure on Medical Care,4.265645,29752.64
2001,Total,"Recreational, travel & transport expenditure",0.6893371,7153.155
2001,Total, Educational and Professional Stationary Expenditure ,4.416687,42028.06
2001,Total,Taxes & Fines and all Other Miscellaneous Expenditure ,3.873681,31105.14
2004,1,milkproducts,12.5995,68818.84
2004,1,meet/poultry/fish,5.655727,29473.81
2004,1,fruits,2.125807,10828.95
2004,1,dryfruits,0.9283703,5404.25
2004,1,vegetables,6.477438,32247.8
2004,1,Condiments & Spices (Whole & Powder ),2.247358,11084.44
2004,1,"Sugar, Honey and Sugar Preparations ",4.189696,20998.82
2004,1,Non Alcoholic Beverages,1.389294,7589.355
2004,1," Readymade Food, Drinks etc. ",6.145071,30313.05
2004,1, Cereals,14.49873,73647.15
2004,1,Pulses – Split and Whole / Washed and Unwashed ,1.653787,8202.973
2004,1,Edible Oils and Fats,5.675556,28523.19
2004,1,Tea and Coffee,1.609134,7926.558
2004,1,Baked and Fried Products,0.8152571,4172.046
2004,1,Miscellaneous Food Items,1.105998,5831.649
2004,1,FUEL AND LIGHTING ,8.865847,43926.92
2004,1, Personal Care Articles,1.501874,7501.353
2004,1, Personal Care Services,0.8697808,4334.508
2004,1, Household laundry Cleaning and Paper Articles,1.645714,8234.045
2004,1, Tobacco and Chewing Products,3.534481,17301.76
2004,1,Recreation & reading,1.603104,8145
2004,1, Personal Transport and Travelling ,3.453443,17419.93
2004,1,Other Miscellaneous Household Expenses on Goods and Services,3.482967,19300.51
2004,1," Clothing, Clothing material and services",5.07806,25499.9
2004,1,. Footwear and repair charges,1.259335,6322.862
2004,1,Personal effects and service and repair charges,0.2559432,1405.134
2004,1, House rent and housing expenses,9.106848,45440.36
2004,1,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.4199285,4116.445
2004,1, Expenditure on Medical Care,4.46381,22493.81
2004,1,"Recreational, travel & transport expenditure",0.5042909,2629.441
2004,1, Educational and Professional Stationary Expenditure ,2.057693,11659.95
2004,1,Taxes & Fines and all Other Miscellaneous Expenditure ,3.208411,16948.44
2004,2,milkproducts,11.54135,87296.05
2004,2,meet/poultry/fish,5.814271,42599.29
2004,2,fruits,2.007035,14369.03
2004,2,dryfruits,1.059718,8418.288
2004,2,vegetables,5.972413,42543.73
2004,2,Condiments & Spices (Whole & Powder ),2.098351,14770.74
2004,2,"Sugar, Honey and Sugar Preparations ",3.903726,28007.28
2004,2,Non Alcoholic Beverages,1.346724,9579.525
2004,2," Readymade Food, Drinks etc. ",4.374267,32715.87
2004,2, Cereals,13.34373,95786.1
2004,2,Pulses – Split and Whole / Washed and Unwashed ,1.540404,10870.32
2004,2,Edible Oils and Fats,5.299898,38051.29
2004,2,Tea and Coffee,1.559984,11211.15
2004,2,Baked and Fried Products,0.7877868,5720.107
2004,2,Miscellaneous Food Items,0.9559992,7019.768
2004,2,FUEL AND LIGHTING ,8.738303,62171.12
2004,2, Personal Care Articles,1.562442,11112.16
2004,2, Personal Care Services,0.7850685,5566.041
2004,2, Household laundry Cleaning and Paper Articles,1.596173,11404.42
2004,2, Tobacco and Chewing Products,2.995742,21157.83
2004,2,Recreation & reading,1.727929,12304.84
2004,2, Personal Transport and Travelling ,3.73304,26679.61
2004,2,Other Miscellaneous Household Expenses on Goods and Services,4.034413,31374.49
2004,2," Clothing, Clothing material and services",5.181883,36890.73
2004,2,. Footwear and repair charges,1.336527,9534.056
2004,2,Personal effects and service and repair charges,0.2369912,1694.366
2004,2, House rent and housing expenses,9.608249,69912.28
2004,2,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3857771,2740.833
2004,2, Expenditure on Medical Care,3.960671,29116.24
2004,2,"Recreational, travel & transport expenditure",0.4338691,3082.619
2004,2, Educational and Professional Stationary Expenditure ,2.19914,16519.96
2004,2,Taxes & Fines and all Other Miscellaneous Expenditure ,3.337079,26890.71
2004,3,milkproducts,11.44462,106949.1
2004,3,meet/poultry/fish,6.321896,57500.02
2004,3,fruits,2.110822,19177.11
2004,3,dryfruits,1.150052,11362.77
2004,3,vegetables,5.457346,48923.14
2004,3,Condiments & Spices (Whole & Powder ),1.92439,17149.54
2004,3,"Sugar, Honey and Sugar Preparations ",3.5242,31647.27
2004,3,Non Alcoholic Beverages,1.277173,11794.37
2004,3," Readymade Food, Drinks etc. ",4.464965,39112.54
2004,3, Cereals,11.97389,107798
2004,3,Pulses – Split and Whole / Washed and Unwashed ,1.412772,12593.82
2004,3,Edible Oils and Fats,4.93767,44395.32
2004,3,Tea and Coffee,1.509142,13534.52
2004,3,Baked and Fried Products,0.7980146,7353.154
2004,3,Miscellaneous Food Items,0.8411199,7903.109
2004,3,FUEL AND LIGHTING ,8.386117,75160.38
2004,3, Personal Care Articles,1.650574,14852.47
2004,3, Personal Care Services,0.786457,7405.284
2004,3, Household laundry Cleaning and Paper Articles,1.538366,13844.94
2004,3, Tobacco and Chewing Products,2.983274,26788.24
2004,3,Recreation & reading,1.718862,15305.67
2004,3, Personal Transport and Travelling ,3.900118,35253.28
2004,3,Other Miscellaneous Household Expenses on Goods and Services,4.261681,40454.69
2004,3," Clothing, Clothing material and services",5.133316,46240.56
2004,3,. Footwear and repair charges,1.315471,11852.34
2004,3,Personal effects and service and repair charges,0.222941,2034.261
2004,3, House rent and housing expenses,10.58647,95612.4
2004,3,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.4091181,5167.63
2004,3, Expenditure on Medical Care,3.915155,36803.23
2004,3,"Recreational, travel & transport expenditure",0.472776,4397.995
2004,3, Educational and Professional Stationary Expenditure ,2.592043,24180.93
2004,3,Taxes & Fines and all Other Miscellaneous Expenditure ,3.146464,29067.72
2004,4,milkproducts,10.96835,132787.6
2004,4,meet/poultry/fish,6.540725,78763.16
2004,4,fruits,2.123327,25641.94
2004,4,dryfruits,0.9159782,11321.77
2004,4,vegetables,4.831125,57083.13
2004,4,Condiments & Spices (Whole & Powder ),1.733456,20385.26
2004,4,"Sugar, Honey and Sugar Preparations ",3.277031,38746.94
2004,4,Non Alcoholic Beverages,1.133551,14190.09
2004,4," Readymade Food, Drinks etc. ",3.795962,45773.06
2004,4, Cereals,10.37535,121853.2
2004,4,Pulses – Split and Whole / Washed and Unwashed ,1.23478,14514.1
2004,4,Edible Oils and Fats,4.528175,53523.55
2004,4,Tea and Coffee,1.402004,16552.81
2004,4,Baked and Fried Products,0.8344997,10254.97
2004,4,Miscellaneous Food Items,0.7188948,8660.577
2004,4,FUEL AND LIGHTING ,7.936134,93801.52
2004,4, Personal Care Articles,1.681122,20146.98
2004,4, Personal Care Services,0.7601691,8993.491
2004,4, Household laundry Cleaning and Paper Articles,1.435709,17052.67
2004,4, Tobacco and Chewing Products,2.805201,33314.34
2004,4,Recreation & reading,1.588518,20942.12
2004,4, Personal Transport and Travelling ,4.358072,52899.08
2004,4,Other Miscellaneous Household Expenses on Goods and Services,4.881922,60798.01
2004,4," Clothing, Clothing material and services",4.994175,59354.72
2004,4,. Footwear and repair charges,1.246498,14777.51
2004,4,Personal effects and service and repair charges,0.2169125,2611.046
2004,4, House rent and housing expenses,11.90506,143531.7
2004,4,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3574113,4232.568
2004,4, Expenditure on Medical Care,3.822969,46818.88
2004,4,"Recreational, travel & transport expenditure",0.5492607,6627.422
2004,4, Educational and Professional Stationary Expenditure ,3.2222,40183.9
2004,4,Taxes & Fines and all Other Miscellaneous Expenditure ,3.481787,42371.03
2004,5,milkproducts,9.54242,199926.1
2004,5,meet/poultry/fish,6.620966,145415.7
2004,5,fruits,2.157854,47974.42
2004,5,dryfruits,0.7577171,19303.16
2004,5,vegetables,3.686369,73452.05
2004,5,Condiments & Spices (Whole & Powder ),1.339943,26732.94
2004,5,"Sugar, Honey and Sugar Preparations ",2.565822,52388.54
2004,5,Non Alcoholic Beverages,1.025022,24651.32
2004,5," Readymade Food, Drinks etc. ",3.672656,85415.17
2004,5, Cereals,6.836481,131894.5
2004,5,Pulses – Split and Whole / Washed and Unwashed ,0.9201846,17802.29
2004,5,Edible Oils and Fats,3.58675,71306.9
2004,5,Tea and Coffee,0.9991444,19935.7
2004,5,Baked and Fried Products,1.014648,22873.66
2004,5,Miscellaneous Food Items,0.5047353,10794.33
2004,5,FUEL AND LIGHTING ,7.218265,154281.9
2004,5, Personal Care Articles,1.739874,38536.92
2004,5, Personal Care Services,0.7912905,18266.26
2004,5, Household laundry Cleaning and Paper Articles,1.123897,22828.37
2004,5, Tobacco and Chewing Products,2.235433,45812.92
2004,5,Recreation & reading,1.223867,31108.5
2004,5, Personal Transport and Travelling ,6.167351,149310.9
2004,5,Other Miscellaneous Household Expenses on Goods and Services,6.303208,159797
2004,5," Clothing, Clothing material and services",4.640409,98748.42
2004,5,. Footwear and repair charges,1.172112,24517.69
2004,5,Personal effects and service and repair charges,0.2549984,6088.617
2004,5, House rent and housing expenses,15.41942,383596.9
2004,5,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3536732,7737.189
2004,5, Expenditure on Medical Care,3.493857,77496.96
2004,5,"Recreational, travel & transport expenditure",0.9417126,27209.21
2004,5, Educational and Professional Stationary Expenditure ,5.141766,126734.6
2004,5,Taxes & Fines and all Other Miscellaneous Expenditure ,3.723123,83439.31
2004,Total,milkproducts,11.21324,119411.8
2004,Total,meet/poultry/fish,6.220162,73250.27
2004,Total,fruits,2.107074,24752.69
2004,Total,dryfruits,0.9150988,13154.09
2004,Total,vegetables,5.284769,50855.97
2004,Total,Condiments & Spices (Whole & Powder ),1.868558,18027.72
2004,Total,"Sugar, Honey and Sugar Preparations ",3.491971,34357.49
2004,Total,Non Alcoholic Beverages,1.152505,17182.73
2004,Total," Readymade Food, Drinks etc. ",4.292069,51296.55
2004,Total, Cereals,11.4074,106204.9
2004,Total,Pulses – Split and Whole / Washed and Unwashed ,1.351616,12809.95
2004,Total,Edible Oils and Fats,4.806307,47148.6
2004,Total,Tea and Coffee,1.414315,13877.54
2004,Total,Baked and Fried Products,0.8701694,11929.33
2004,Total,Miscellaneous Food Items,0.7944595,8300.476
2004,Total,FUEL AND LIGHTING ,8.230262,85787.02
2004,Total, Personal Care Articles,1.627173,18419.83
2004,Total, Personal Care Services,0.7979295,8999.265
2004,Total, Household laundry Cleaning and Paper Articles,1.467426,14692.87
2004,Total, Tobacco and Chewing Products,2.918292,28647.28
2004,Total,Recreation & reading,1.373786,26398.41
2004,Total, Personal Transport and Travelling ,4.346624,57449.03
2004,Total,Other Miscellaneous Household Expenses on Goods and Services,4.697396,67029.18
2004,Total," Clothing, Clothing material and services",5.005907,53319.34
2004,Total,. Footwear and repair charges,1.2661,13414.92
2004,Total,Personal effects and service and repair charges,0.2371435,2968.005
2004,Total, House rent and housing expenses,11.32425,147552
2004,Total,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3847454,4824.734
2004,Total, Expenditure on Medical Care,3.93106,42545.38
2004,Total,"Recreational, travel & transport expenditure",0.6632115,13107.03
2004,Total, Educational and Professional Stationary Expenditure ,3.256957,51355.43
2004,Total,Taxes & Fines and all Other Miscellaneous Expenditure ,3.386982,40739.32
2006,1,milkproducts,11.93267,77927.76
2006,1,meet/poultry/fish,5.60337,36254.58
2006,1,fruits,1.873764,11512.47
2006,1,dryfruits,1.060452,6781.27
2006,1,vegetables,5.611115,33416.37
2006,1,Condiments & Spices (Whole & Powder ),1.987801,11777.78
2006,1,"Sugar, Honey and Sugar Preparations ",5.171146,31310.76
2006,1,Non Alcoholic Beverages,1.759631,10946
2006,1," Readymade Food, Drinks etc. ",9.397338,63135.56
2006,1, Cereals,13.01511,79068.64
2006,1,Pulses – Split and Whole / Washed and Unwashed ,1.484998,8877.5
2006,1,Edible Oils and Fats,5.322314,32344.98
2006,1,Tea and Coffee,1.596893,9755.321
2006,1,Baked and Fried Products,0.9466803,5786.215
2006,1,Miscellaneous Food Items,1.077845,6816.83
2006,1,FUEL AND LIGHTING ,9.546517,56600.71
2006,1, Personal Care Articles,1.538005,9247.737
2006,1, Personal Care Services,0.7790153,4703.105
2006,1, Household laundry Cleaning and Paper Articles,1.783326,10614.92
2006,1, Tobacco and Chewing Products,3.547417,20832
2006,1,Recreation & reading,1.969527,12851.54
2006,1, Personal Transport and Travelling ,4.633407,28020.49
2006,1,Other Miscellaneous Household Expenses on Goods and Services,3.807595,25899.53
2006,1," Clothing, Clothing material and services",4.83942,29241.68
2006,1,. Footwear and repair charges,1.255222,7561.77
2006,1,Personal effects and service and repair charges,0.2604365,1632.382
2006,1, House rent and housing expenses,10.38058,63779.76
2006,1,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3767847,2293.734
2006,1, Expenditure on Medical Care,4.354279,26036.98
2006,1,"Recreational, travel & transport expenditure",0.6444398,4023.304
2006,1, Educational and Professional Stationary Expenditure ,1.796256,12359.76
2006,1,Taxes & Fines and all Other Miscellaneous Expenditure ,3.513478,23265.3
2006,2,milkproducts,11.5129,105614.7
2006,2,meet/poultry/fish,5.188876,46273.17
2006,2,fruits,1.839347,16442.5
2006,2,dryfruits,1.228573,11316.12
2006,2,vegetables,5.059803,43538.9
2006,2,Condiments & Spices (Whole & Powder ),1.837817,15874.06
2006,2,"Sugar, Honey and Sugar Preparations ",4.714307,40827.4
2006,2,Non Alcoholic Beverages,1.600755,14217.43
2006,2," Readymade Food, Drinks etc. ",4.141408,33352.26
2006,2, Cereals,11.84585,102813.2
2006,2,Pulses – Split and Whole / Washed and Unwashed ,1.389025,11987.02
2006,2,Edible Oils and Fats,4.828248,42348.55
2006,2,Tea and Coffee,1.452037,12588.73
2006,2,Baked and Fried Products,0.8034325,7105.436
2006,2,Miscellaneous Food Items,1.023222,9257.889
2006,2,FUEL AND LIGHTING ,8.932717,77569.34
2006,2, Personal Care Articles,1.628181,14334.38
2006,2, Personal Care Services,0.7208606,6295.048
2006,2, Household laundry Cleaning and Paper Articles,1.664354,14382.47
2006,2, Tobacco and Chewing Products,3.217532,27671.93
2006,2,Recreation & reading,2.061283,19332.16
2006,2, Personal Transport and Travelling ,4.866922,42505.14
2006,2,Other Miscellaneous Household Expenses on Goods and Services,4.083117,37089.79
2006,2," Clothing, Clothing material and services",4.957252,43377.31
2006,2,. Footwear and repair charges,1.292448,11226.8
2006,2,Personal effects and service and repair charges,0.2512989,2236.81
2006,2, House rent and housing expenses,11.59625,109179.3
2006,2,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3710835,3242.339
2006,2, Expenditure on Medical Care,4.166438,36291.04
2006,2,"Recreational, travel & transport expenditure",0.5441188,4931.506
2006,2, Educational and Professional Stationary Expenditure ,2.473299,22821.03
2006,2,Taxes & Fines and all Other Miscellaneous Expenditure ,3.411386,30136.27
